,name_set,part_num,name,freq
87329,Mini Construction,30251,Windscreen 5 x 4 x 3,1
87332,Mini Construction,30257,"Brick, Arch 1 x 6 x 6",1
87333,Mini Construction,30258pb007,Road Sign Clip-on 2 x 2 Square with Safe/Unsafe Water Print - Set 6435,1
87334,Mini Construction,30261px6,Roadsign Clip-on 2 x 2 Round with Radar Dish Print,1
87336,Mini Construction,30338,Palm Tree Base and Trunk 4 x 4,1
87337,Mini Construction,30339,"Plant, Tree Palm Leaf 4",1
87341,Mini Construction,3037pc0,"Slope 45° 2 x 4 with '268', Map Lines, Bar Gauges Print",1
87342,Mini Construction,3037pr0005,Slope 45° 2 x 4 with Headlight Print,1
87343,Mini Construction,3037px11,Slope 45° 2 x 4 with Fish and Terrain Map Print,1
87351,Mini Construction,3068bp66,Tile 2 x 2 with Coast Guard Shield and Stripes Print,1
87352,Mini Construction,3069bp02,Tile 1 x 2 with Video Tape and Reels Print,1
87355,Mini Construction,32084,Wedge 6 x 8 Cutout,1
87356,Mini Construction,32086,Windscreen 8 x 6 x 3 Wedge,1
87359,Mini Construction,3626bp02,"Minifig Head Female Standard with Red Lips, Eyelashes Print [Blocked Open Stud]",1
87363,Mini Construction,3626bpb0110,Minifig Head with Blue Sunglasses and Moustache Print [Blocked Open Stud],1
87376,Mini Construction,4289,Boat Mast 2 x 2 x 3 Inclined with Stud on Top and Two Sides,1
87386,Mini Construction,51595p01,Baseplate 16 x 16 Driveway with Grey Drive Print,1
87397,Mini Construction,6160c03,"Window 1 x 4 x 6 Frame with 3 Panes, Fixed Glass with Trans-Dark Blue Glass",1
87399,Mini Construction,6228a,Dolphin (Normal Connection - Without Axle Holder),1
87400,Mini Construction,71610pb02,"Boat Hull Unitary 32 x 10 x 1 2/3, Base with Coast Guard Print",1
87401,Mini Construction,76041c04,Door 1 x 4 x 6 with 3 Panes with Trans-Dark Blue Glass,1
87402,Mini Construction,892pb11,Road Sign Clip-on 2 x 2 Triangle with Coast Guard Logo Print,1
87406,Mini Construction,973pb0237c01,"Torso Rescue Coast Guard Logo, Nametag, White Collar, Zipper Print / White Arms / Yellow Hands",1
87407,Mini Construction,973pb0264c01,"Torso Rescue Coast Guard Logo, Nametag, Red Collar, Zipper Print / Red Arms / Yellow Hands",1
87408,Mini Construction,973pb0265c01,"Torso Rescue Coast Guard Logo, Nametag, Blue Collar, Red Tie Print / Blue Arms / Yellow Hands",1
89484,Dirt Bike Transporter,2431px13,Tile 1 x 4 with Octan Logos and '71' Print [6424],1
89485,Dirt Bike Transporter,2431px8,Tile 1 x 4 with Racing 73 Team 1 Print,1
89493,Dirt Bike Transporter,3010a,"Brick 1 x 4 with Bottom Tubes, with 1 Lowered Cross Support",1
89494,Dirt Bike Transporter,3010apr014,"Brick 1 x 4 with '71', Chequered Flag, and Octan Logo Print",1
89495,Dirt Bike Transporter,3010apr015,Brick 1 x 4 with Racing 73 Print,1
89496,Dirt Bike Transporter,3010px2,Brick 1 x 4 with Car Headlights and Blue Oval Print,1
89498,Dirt Bike Transporter,30182pb01,Slope 45 4 x 4 with Blue Stripe Print,1
89499,Dirt Bike Transporter,30182pb02,Slope 45 4 x 4 with Octan Logo and Red & Green Stripe Print,1
89505,Dirt Bike Transporter,3039pb020,Slope 45 2 x 2 with Tachometer and Red 63 km/h Print,1
89516,Dirt Bike Transporter,3941pb01,"Brick, Round 2 x 2 with Octan Text Print",1
89611,Aqua Res-Q Transport,3004p13,Brick 1 x 2 with Telephone Print,1
89612,Aqua Res-Q Transport,3004p18,Brick 1 x 2 with Thin Black POLICE Print,1
89622,Aqua Res-Q Transport,3009p18,"Brick  1 x  6 with Thin Black ""POLICE"" Print",1
89645,Aqua Res-Q Transport,3040p02,Slope Brick 45 2 x 1 with White Rotary Dial Print,1
89653,Aqua Res-Q Transport,3144,Antenna with Side Spokes,1
89658,Aqua Res-Q Transport,3461,Propeller 4 Blade 5 Diameter with Hole for Rotor Holder,1
89659,Aqua Res-Q Transport,3462,Plate Special 2 x 3 with Helicopter Rotor Holder,1
89662,Aqua Res-Q Transport,3480,Propeller 2 Blade,1
89663,Aqua Res-Q Transport,3481,Plate Special 2 x 2 with Helicopter Tail Rotor Holder,1
89672,Aqua Res-Q Transport,3644,Door 1 x 4 x 6,1
89685,Aqua Res-Q Transport,3821p02,Door 1 x 3 x 1 Right with Thin POLICE Print,1
89686,Aqua Res-Q Transport,3822p02,Door 1 x 3 x 1 Left with Thin POLICE Print,1
89699,Aqua Res-Q Transport,4212a,"Vehicle, Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole (Early Version)",1
89700,Aqua Res-Q Transport,606p02,"Baseplate, Road 32 x 32 9-Stud Straight with Road and Crosswalk Print",1
89701,Aqua Res-Q Transport,69c01,Tap 1 x 2 Base with Light Gray Spout,1
89705,Aqua Res-Q Transport,973p26c01,Torso Patch Pocket Shirt Print / Blue Arms / Yellow Hands,1
89706,Aqua Res-Q Transport,973pb0079c01,"Torso Police Leather Jacket, White Badge, Curved Zipper Print / Black Arms / Yellow Hands",1
89707,Aqua Res-Q Transport,973pb0091c01,Torso Police Uniform with White Badge and Pocket Print / Black Arms / Yellow Hands,1
95859,Enchanted Island,13756,Glass for Windscreen 2 x 6 x 2,1
95895,Enchanted Island,30552,Hinge Cylinder 1 x 2 Locking with 1 Finger and Axle Hole On Ends,1
95903,Enchanted Island,3626cpr0937,"Minifig Head Black Eyebrows, Cheek Lines, Black Pupils and Frown Print [Hollow Stud]",1
95904,Enchanted Island,3626cpr0966,Minifig Head Alien with Spider-Man Black Web Print [Hollow Stud],1
95905,Enchanted Island,3626cpr1382,"Minifig Head Dual Sided Thick Brown Eyebrows, Silver Sunglasses, Angry Clenched Teeth / Open Mouth Smile Print (Doc Ock) [Hollow Stud]",1
95918,Enchanted Island,40240,"Minifig Hair - Short, Bowl Cut",1
95933,Enchanted Island,48724,Minifig Neck Bracket with Technic Pin,1
95942,Enchanted Island,60476,Brick Special 1 x 1 with Clip Horizontal,1
95946,Enchanted Island,60583a,"Brick Special 1 x 1 x 3 with 2 Clips Vertical [Solid Stud, Thick U Clips]",1
95955,Enchanted Island,64728,Minifig Dynamite Sticks,1
95963,Enchanted Island,90981,"Spider Web, Hanging",1
95969,Enchanted Island,970c00pr0652,Legs and Hips with White Lab Coat Print (Doc Ock) ,1
